0.923880 0.382683 0.000000
0.876307 0.481754 0.000000
0.755282 0.655400 0.000000
0.667183 0.744894 0.000000
0.575005 0.818150 0.000000
0.425779 0.904827 0.000000
0.389928 0.920845 0.000000
0.331338 0.943512 0.000000
0.015707 0.999877 0.000000
0.999938 0.007854 0.007854
0.840068 0.542425 0.007854
0.734300 0.678780 0.007854
0.587767 0.808992 0.007854
0.286516 0.958043 0.007854
0.256281 0.966570 0.007854
0.047105 0.998859 0.007854
0.995439 0.094097 0.015707
0.993838 0.109721 0.015707
0.860636 0.508979 0.015707
0.848406 0.529114 0.015707
0.690166 0.723481 0.015707
0.474798 0.879955 0.015707
0.397099 0.917641 0.015707
0.308979 0.950939 0.015707
0.301501 0.953337 0.015707
0.631178 0.775280 0.023560
0.389819 0.920590 0.023560
0.999476 0.007850 0.031411
0.618788 0.784929 0.031411
0.502018 0.864287 0.031411
0.432659 0.901010 0.031411
0.971620 0.233265 0.039260
0.957334 0.286304 0.039260
0.900760 0.432539 0.039260
0.875631 0.481382 0.039260
0.799068 0.599957 0.039260
0.474490 0.879385 0.039260
0.086220 0.995502 0.039260
0.934406 0.353082 0.047107
0.789278 0.612227 0.047107
0.689485 0.722767 0.047107
0.660578 0.749278 0.047107
0.642742 0.764633 0.047107
0.567931 0.821727 0.047107
0.323558 0.945035 0.047107
0.233186 0.971290 0.047107
0.062721 0.996919 0.047107
0.418027 0.906771 0.054950
0.109568 0.992459 0.054950
0.996519 0.054842 0.062790
0.534769 0.842662 0.062790
0.285959 0.956182 0.062790
0.210056 0.975671 0.062790
0.047013 0.996919 0.062790
0.918546 0.388954 0.070627
0.682838 0.727148 0.070627
0.635832 0.768589 0.070627
0.617548 0.783356 0.070627
0.459823 0.885197 0.070627
0.278294 0.957896 0.070627
0.996887 0.007830 0.078459
0.881041 0.466487 0.078459
0.641472 0.763123 0.078459
0.322919 0.943169 0.078459
0.054781 0.995411 0.078459
0.978624 0.186682 0.086286
0.876781 0.473085 0.086286
0.810574 0.579245 0.086286
0.527205 0.845346 0.086286
0.186682 0.978624 0.086286
0.973261 0.209538 0.094108
0.962310 0.255152 0.094108
0.864776 0.493260 0.094108
0.675788 0.731064 0.094108
0.437987 0.894042 0.094108
0.224799 0.969850 0.094108
0.967306 0.232230 0.101924
0.634104 0.766501 0.101924
0.277538 0.955293 0.101924
0.993685 0.023418 0.109734
0.979160 0.170891 0.109734
0.966498 0.232036 0.109734
0.932526 0.344027 0.109734
0.770812 0.627540 0.109734
0.755814 0.645526 0.109734
0.558689 0.822086 0.109734
0.262279 0.958732 0.109734
0.077985 0.990897 0.109734
0.850779 0.512211 0.117537
0.707699 0.696669 0.117537
0.696669 0.707699 0.117537
0.602477 0.789434 0.117537
0.990616 0.054517 0.125333
0.845917 0.518379 0.125333
0.837670 0.531602 0.125333
0.673448 0.728532 0.125333
0.544694 0.829217 0.125333
0.178244 0.975972 0.125333
0.984230 0.116491 0.133121
0.981212 0.139647 0.133121
0.967231 0.216202 0.133121
0.955973 0.261525 0.133121
0.937665 0.321034 0.133121
0.824069 0.550626 0.133121
0.792567 0.595076 0.133121
0.576238 0.806367 0.133121
0.569888 0.810868 0.133121
0.491049 0.860900 0.133121
0.989535 0.031097 0.140901
0.981212 0.131793 0.140901
0.677718 0.721696 0.140901
0.038868 0.989260 0.140901
0.965071 0.215719 0.148672
0.751955 0.642230 0.148672
0.015533 0.988765 0.148672
0.965564 0.207881 0.156434
